"eventId","Week","Year","Tour","EventName","Winner","WinnerPts","playerId","WorldRating","HomeRating","FieldStrength"
1,2,1986,"USA","Tourn. of Champ.","Calvin Peete",52,160,116,,116
2,3,1986,"USA","Bob Hope Classic","Donnie Hammond",56,91,134,,134
3,3,1986,"AFR","ICL Internat'nal","Gavan Levenson",10,447,,,
4,4,1986,"USA","Phoenix Open","Hal Sutton",56,205,135,,135
5,4,1986,"AFR","Lexington PGA","Bobby Cole",20,438,,,
6,5,1986,"USA","AT&T Nat. Pro-Am","Fuzzy Zoeller",46,233,167,,167
7,5,1986,"AFR","Wild Coast Class","Mark McNulty",10,449,,,
8,5,1986,"ANZ","Tasmanian Open","Stewart Ginn",10,499,,,
9,6,1986,"USA","Sh'son Lehman Op","Bob Tway",38,215,103,,103
10,6,1986,"AFR","Sth. Africa Open","David Frost",20,440,,,
11,6,1986,"ANZ","Victorian Open","Ossie Moore",20,509,,,
12,7,1986,"USA","Hawaiian Open","Corey Pavin",54,159,121,,121
13,7,1986,"AFR","AECI Classic","Fulton Allem",10,433,,,
14,7,1986,"AFR","Nigerian Open","Gordon J Brand",10,246,,,
15,7,1986,"ANZ","Austral. M-Play","Peter Fowler",10,497,,,
16,8,1986,"USA","Los Angeles Open","Doug Tewell",42,208,63,,63
17,8,1986,"AFR","Barclays B'k Cl.","Mark McNulty",10,449,,,
18,8,1986,"ANZ","Austral. Masters","Mark O'Meara",26,154,51,,51
19,8,1986,"AFR","Ivory Coast Open","Gordon J Brand",10,246,,,
20,9,1986,"USA","Honda Classic","Kenny Knox",42,115,63,,63
21,9,1986,"AFR","Palabora Classic","Fulton Allem",10,433,,,
22,9,1986,"ANZ","Rich River Clas.","Bob Shearer",10,523,,,
23,9,1986,"ASA","Hong Kong Open","Seiichi Kanai",10,364,,,
24,10,1986,"USA","Doral Eastern Op","Andy Bean(Mar1953)",54,8,122,,122
25,10,1986,"AFR","Swazi Sun Pro-Am","Mark McNulty",10,449,,,
26,10,1986,"ASA","Malaysian Open","Stewart Ginn",10,499,,,
27,10,1986,"AFR","Kenya Open","Ian Woosnam",10,334,,,
28,11,1986,"USA","Bay Hill Classic","Dan Forsman",46,70,168,,168
29,11,1986,"AFR","Tr. Bank T of Ch","Mark McNulty",20,449,,,
30,11,1986,"ASA","Singapore Open","Greg Turner",10,531,,,
