espnEventId,eventName,date,Tour,owgrEventId
2,Mercedes Championships,"January 11 - 14, 2001",,
3,Touchstone Energy Tucson Open,"January 11 - 14, 2001",,
4,Sony Open in Hawaii,"January 18 - 21, 2001",,
5,Phoenix Open,"January 25 - 28, 2001",,
6,AT&T Pebble Beach National Pro-Am,"February 1 - 4, 2001",,
7,Buick Invitational,"February 8 - 11, 2001",,
9,Nissan Open,"February 22 - 25, 2001",,
10,Genuity Championship,"March 1 - 4, 2001",,
11,Honda Classic,"March 8 - 11, 2001",,
12,Bay Hill Invitational,"March 15 - 18, 2001",,
13,THE PLAYERS Championship,"March 22 - 25, 2001",,
14,BellSouth Classic,"March 29 - April 1, 2001",,
15,Masters Tournament,"April 5 - 8, 2001",MAJ,2441
16,WORLDCOM CLASSIC - The Heritage of Golf,"April 12 - 15, 2001",,
17,Shell Houston Open,"April 19 - 22, 2001",,
18,Greater Greensboro Chrysler Classic,"April 26 - 29, 2001",,
19,Compaq Classic of New Orleans,"May 3 - 6, 2001",,
20,Verizon Byron Nelson Classic,"May 10 - 13, 2001",,
21,MasterCard Colonial,"May 17 - 20, 2001",,
22,Kemper Insurance Open,"May 24 - 27, 2001",,
23,Memorial Tournament,"May 31 - June 3, 2001",,
24,FedEx St. Jude Classic,"June 7 - 10, 2001",,
25,U.S. Open Championship,"June 14 - 17, 2001",MAJ,2484
26,Buick Classic,"June 21 - 24, 2001",,
27,Canon Greater Hartford Open,"June 28 - July 1, 2001",,
28,Advil Western Open,"July 5 - 8, 2001",,
29,Greater Milwaukee Open,"July 12 - 15, 2001",,
30,British Open Championship,"July 19 - 22, 2001",MAJ,2513
31,B.C. Open,"July 19 - 22, 2001",,
32,John Deere Classic,"July 26 - 29, 2001",,
34,Buick Open,"August 9 - 12, 2001",,
35,PGA Championship,"August 16 - 19, 2001",MAJ,2535
36,WGC-NEC Invitational,"August 23 - 26, 2001",,
37,Reno-Tahoe Open,"August 23 - 26, 2001",,
38,Air Canada Championship,"August 30 - September 2, 2001",,
39,Bell Canadian Open,"September 6 - 9, 2001",,
42,Marconi Pennsylvania Classic,"September 20 - 23, 2001",,
43,Texas Open at LaCantera,"September 27 - 30, 2001",,
44,Michelob Championship at Kingsmill,"October 4 - 7, 2001",,
46,National Car Rental Golf Classic Disney,"October 18 - 21, 2001",,
47,Buick Challenge,"October 25 - 28, 2001",,
48,THE TOUR Championship,"November 1 - 4, 2001",,
49,Southern Farm Bureau Classic,"November 1 - 4, 2001",,
50,PGA Championship,"August 15 - 18, 2002",MAJ,2751
51,WGC-NEC Invitational,"August 22 - 25, 2002",,
52,Reno-Tahoe Open,"August 22 - 25, 2002",,
53,Air Canada Championship,"August 29 - September 1, 2002",,
54,Bell Canadian Open,"September 5 - 8, 2002",,
55,SEI Pennsylvania Classic,"September 12 - 15, 2002",,
56,WGC-American Express Championship,"September 19 - 22, 2002",,
57,Tampa Bay Classic presented by Buick,"September 19 - 22, 2002",,
58,Valero Texas Open,"September 26 - 29, 2002",,
59,Michelob Championship at Kingsmill,"October 3 - 6, 2002",,
61,Disney Golf Classic,"October 17 - 20, 2002",,
62,Buick Challenge,"October 24 - 27, 2002",,
63,THE TOUR Championship presented by Coca-Cola,"October 31 - November 3, 2002",,
65,Mercedes Championships,"January 3 - 6, 2002",,
66,Sony Open in Hawaii,"January 10 - 13, 2002",,
68,Phoenix Open,"January 24 - 27, 2002",,
69,AT&T Pebble Beach National Pro-Am,"January 31 - February 3, 2002",,
70,Buick Invitational,"February 7 - 10, 2002",,
71,Nissan Open,"February 14 - 17, 2002",,
73,Touchstone Energy Tucson Open,"February 21 - 24, 2002",,
74,Genuity Championship,"February 28 - March 3, 2002",,
75,The Honda Classic,"March 7 - 10, 2002",,
76,Bay Hill Invitational presented by Cooper Tires,"March 14 - 17, 2002",,
77,THE PLAYERS Championship,"March 21 - 24, 2002",,
78,Shell Houston Open,"March 28 - 31, 2002",,
79,BellSouth Classic,"April 4 - 7, 2002",,
80,Masters Tournament,"April 11 - 14, 2002",MAJ,2656
81,WORLDCOM CLASSIC - The Heritage of Golf,"April 18 - 21, 2002",,
82,Greater Greensboro Chrysler Classic,"April 25 - 28, 2002",,
83,Compaq Classic of New Orleans,"May 2 - 5, 2002",,
84,Verizon Byron Nelson Classic,"May 9 - 12, 2002",,
85,MasterCard Colonial,"May 16 - 19, 2002",,
86,Memorial Tournament,"May 23 - 26, 2002",,
87,Kemper Insurance Open,"May 30 - June 2, 2002",,
88,Buick Classic,"June 6 - 9, 2002",,
89,U.S. Open Championship,"June 13 - 16, 2002",MAJ,2703
90,Canon Greater Hartford Open,"June 20 - 23, 2002",,
91,FedEx St. Jude Classic,"June 27 - 30, 2002",,
92,Advil Western Open,"July 4 - 7, 2002",,
93,Greater Milwaukee Open,"July 11 - 14, 2002",,
94,British Open Championship,"July 18 - 21, 2002",MAJ,2730
95,B.C. Open,"July 18 - 21, 2002",,
96,John Deere Classic,"July 25 - 28, 2002",,
97,The INTERNATIONAL Presented by Qwest,"August 1 - 4, 2002",,
98,Buick Open,"August 8 - 11, 2002",,
99,PGA Championship,"August 14 - 17, 2003",MAJ,2955
100,WGC-NEC Invitational,"August 21 - 24, 2003",,
101,Reno Tahoe Open,"August 21 - 24, 2003",,
102,Bell Canadian Open,"September 4 - 7, 2003",,
103,John Deere Classic,"September 11 - 14, 2003",,
104,84 Lumber Classic of Pennsylvania,"September 18 - 21, 2003",,
105,Valero Texas Open,"September 25 - 28, 2003",,
106,WGC-American Express Championship,"October 2 - 5, 2003",,
107,Southern Farm Bureau Classic,"October 2 - 5, 2003",,
109,Chrysler Classic of Greensboro,"October 16 - 19, 2003",,
110,FUNAI Classic at the WALT DISNEY WORLD Resort,"October 23 - 26, 2003",,
111,Chrysler Championship,"October 30 - November 2, 2003",,
112,THE TOUR Championship presented by Coca-Cola,"November 6 - 9, 2003",,
114,Mercedes Championships,"January 9 - 12, 2003",,
115,Sony Open in Hawaii,"January 16 - 19, 2003",,
116,Phoenix Open,"January 23 - 26, 2003",,
118,AT&T Pebble Beach National Pro-Am,"February 6 - 9, 2003",,
119,Buick Invitational,"February 13 - 16, 2003",,
