Season,Year,Tour,Week,Date,Tournament,Location,Winner,Score,1st prize ($),Purse ($),OWGR points,Notes,TournamentURL,TournamentRedirectURL,PlayerURL
1960,1960,PGA,2,12-Jan,Los Angeles Open,California,Dow Finsterwald (9),280 (-4),"5,500",,,,/wiki/Los_Angeles_Open,/wiki/Los_Angeles_Open,/wiki/Dow_Finsterwald
1960,1960,PGA,3,18-Jan,Yorba Linda Open Invitational,California,Jerry Barber (3),278 (-10),"2,800",,,,/wiki/Yorba_Linda_Open_Invitational,/wiki/Yorba_Linda_Open_Invitational,/wiki/Jerry_Barber
1960,1960,PGA,4,24-Jan,Bing Crosby National Pro-Am,California,Ken Venturi (9),286 (-2),"4,000",,,,/wiki/Bing_Crosby_National_Pro-Am,/wiki/AT%26T_Pebble_Beach_Pro-Am,/wiki/Ken_Venturi
1960,1960,PGA,5,31-Jan,San Diego Open Invitational,California,Mike Souchak (11),269 (-19),"2,800",,,,/wiki/San_Diego_Open_Invitational,/wiki/Farmers_Insurance_Open,/wiki/Mike_Souchak
1960,1960,PGA,6,7-Feb,Palm Springs Desert Golf Classic,California,Arnold Palmer (14),338 (-20),"12,000",,,,/wiki/Palm_Springs_Desert_Golf_Classic,/wiki/CareerBuilder_Challenge,/wiki/Arnold_Palmer
1960,1960,PGA,7,15-Feb,Phoenix Open Invitational,Arizona,Jack Fleck (2),273 (-11),"3,150",,,,/wiki/Phoenix_Open_Invitational,/wiki/Phoenix_Open,/wiki/Jack_Fleck
1960,1960,PGA,8,21-Feb,Tucson Open Invitational,Arizona,Don January (2),271 (-9),"2,800",,,,/wiki/Tucson_Open_Invitational,/wiki/Tucson_Open,/wiki/Don_January
1960,1960,PGA,9,28-Feb,Texas Open Invitational,Texas,Arnold Palmer (15),276 (-12),"2,800",,,,/wiki/Texas_Open_Invitational,/wiki/Valero_Texas_Open,/wiki/Arnold_Palmer
1960,1960,PGA,10,6-Mar,Baton Rouge Open Invitational,Louisiana,Arnold Palmer (16),279 (-9),"2,000",,,,/wiki/Baton_Rouge_Open_Invitational,/wiki/Baton_Rouge_Open_Invitational,/wiki/Arnold_Palmer
1960,1960,PGA,11,13-Mar,Pensacola Open Invitational,Florida,Arnold Palmer (17),273 (-15),"2,000",,,,/wiki/Pensacola_Open_Invitational,/wiki/Pensacola_Open,/wiki/Arnold_Palmer
1960,1960,PGA,12,21-Mar,St. Petersburg Open Invitational,Florida,George Bayer (4),282 (-6),"2,000",,,,/wiki/St._Petersburg_Open_Invitational,/wiki/St._Petersburg_Open_Invitational,/wiki/George_Bayer
1960,1960,PGA,13,27-Mar,De Soto Open Invitational,Florida,Sam Snead (79),276 (-8),"5,300",,,,/wiki/De_Soto_Open_Invitational,/wiki/De_Soto_Open_Invitational,/wiki/Sam_Snead
1960,1960,PGA,14,3-Apr,Azalea Open,North Carolina,Tom Nieporte (2),277 (-11),"2,000",,,,/wiki/Azalea_Open,/wiki/Azalea_Open_Invitational,/wiki/Tom_Nieporte
1960,1960,MAJ,15,10-Apr,Masters Tournament,Georgia,Arnold Palmer (18),282 (-6),"17,500",,,Major championship,/wiki/1960_Masters_Tournament,/wiki/1960_Masters_Tournament,/wiki/Arnold_Palmer
1960,1960,PGA,16,17-Apr,Greater Greensboro Open,North Carolina,Sam Snead (80),270 (-14),"2,800",,,,/wiki/Greater_Greensboro_Open,/wiki/Wyndham_Championship,/wiki/Sam_Snead
1960,1960,PGA,17,24-Apr,Greater New Orleans Open Invitational,Louisiana,Dow Finsterwald (10),270 (-18),"3,500",,,,/wiki/Greater_New_Orleans_Open_Invitational,/wiki/Zurich_Classic_of_New_Orleans,/wiki/Dow_Finsterwald
1960,1960,PGA,18,3-May,Houston Classic,Texas,Bill Collins (2),280 (-8),"5,300",,,,/wiki/Houston_Classic,/wiki/Houston_Open,/wiki/Bill_Collins_(golfer)
1960,1960,PGA,19,8-May,Tournament of Champions,Nevada,Jerry Barber (4),268 (-20),"10,000",,,,/wiki/Tournament_of_Champions_(PGA_Tour),/wiki/Tournament_of_Champions_%28golf%29,/wiki/Jerry_Barber
1960,1960,PGA,20,15-May,Colonial National Invitation,Texas,Julius Boros (9),280 (E),"5,000",,,,/wiki/Colonial_National_Invitation,/wiki/Dean_%26_DeLuca_Invitational,/wiki/Julius_Boros
1960,1960,PGA,21,22-May,Hot Springs Open Invitational,Arkansas,Bill Collins (3),275 (-13),"2,800",,,,/wiki/Hot_Springs_Open_Invitational,/wiki/Arlington_Hotel_Open,/wiki/Bill_Collins_(golfer)
1960,1960,PGA,21,22-May,Sam Snead Festival,West Virginia,Dave Marr (n/a),265 (-15),"2,000",,,,/wiki/Sam_Snead_Festival,/wiki/Sam_Snead_Festival,/wiki/Dave_Marr
1960,1960,PGA,22,29-May,500 Festival Open Invitation,Indiana,Doug Ford (15),270 (-14),"9,000",,,,/wiki/500_Festival_Open_Invitation,/wiki/500_Festival_Open_Invitation,/wiki/Doug_Ford_(golfer)
1960,1960,PGA,23,6-Jun,Memphis Open Invitational,Tennessee,Tommy Bolt (14),273 (-7),"4,300",,,,/wiki/Memphis_Open_Invitational,/wiki/St._Jude_Classic,/wiki/Tommy_Bolt
